1127.1,5.25,0.16,0.17,10.46,7.81,4.03,9
1414.84,1.62,0.1,0.15,24.21,7.3,2.22,8
48.88,3.2,0.13,0.13,28.25,7.34,6.94,0
1210.49,1.55,0.16,0.14,19.79,7.22,6.98,9
1438.5,2.84,0.13,0.01,15.55,7.3,4.68,7
1543.61,4.74,0.15,0.02,18.42,7.92,4.76,7
900.11,2.62,0.08,0.09,12.18,7.49,7.92,8
42.83,1.7,0.13,0.13,10.02,7.3,7.67,0
777.15,5.43,0.05,0.06,26.88,7.11,3,8
995.71,2.76,0.16,0.05,14.92,7.85,3.7,9
164.03,6.82,0.05,0.05,21.79,7.47,4.2,2
1038.5,3.39,0.15,0.19,18.32,7.94,2.2,10
1353.54,6.56,0.12,0.05,21.02,7.57,2.89,9
1807.14,2.43,0.02,0.17,20.44,7.32,5.72,2
211.18,4.64,0.01,0.05,13.21,7.59,2.76,3
1779.01,6.13,0.07,0.07,28.58,7.06,5.6,3
588.15,5.73,0.16,0.04,17.23,7.8,9.6,7
121.39,2.95,0.16,0.06,16.98,7.35,7.41,2
1711.91,1.05,0.14,0.16,14.16,7.69,5.06,5
233.86,2.46,0.01,0.05,14.15,7.11,4.42,2
1686.84,6.89,0.05,0.04,25.34,7.57,2.63,4
1936.81,2.35,0.11,0.1,26.13,7.63,9.94,1
1244.39,1.51,0.19,0.18,27.35,7.87,6.1,9
1045.47,2.17,0.19,0.06,27.99,7.94,4.12,9
828.91,7.04,0.04,0.02,25.45,7.29,2.94,8
1963.75,2.48,0.13,0.08,22.62,7.55,4.75,1
115.84,2.48,0.08,0.11,10.35,7.71,6.21,0
942.39,2.31,0.16,0.11,13.61,7.95,8.7,10
227.98,7.77,0.11,0.06,24.45,7.02,5.05,3
917.13,7.74,0.15,0.17,14.34,7.51,5.83,10
953.48,1.17,0.15,0.04,18.95,7.99,6.67,9
482.35,5,0.08,0.02,16.86,7.28,9.39,7
257.74,4.19,0.14,0.05,23.86,7.23,3.2,3
823.74,4.95,0.05,0.18,22.69,7.27,7.93,9
911.86,4.12,0.03,0.11,17.4,7.76,9.43,9
1071.06,1.91,0.01,0.11,28.08,7.49,2.74,9
661.77,1.62,0.02,0.14,10.72,7.75,6.85,8
394.66,6.89,0.14,0.14,10.5,7.17,3.73,6
467.89,2.63,0.15,0.12,14.79,7.73,5.82,7
421.8,3.16,0.08,0.19,22.98,7.95,4.24,6
1743.54,4.2,0.09,0.07,15.16,7.19,2.59,4
581.97,5.69,0.01,0.14,26.07,7.65,5.87,8
817.87,3.65,0.16,0.06,26.6,7.36,8.18,9
413.88,2.75,0.19,0.08,20.65,7.47,4.98,5
878.75,4.92,0.17,0.15,14.03,7.75,7.31,9
599.54,2.15,0.11,0.14,29.52,7.63,3.59,8
1382.86,5.69,0.17,0.09,25.72,7.8,2.39,9
1209.74,1.55,0.1,0.11,23.06,7.29,4.01,9
267.15,5.93,0.11,0.17,18.8,7.32,7.73,3
498.74,2.22,0.18,0.11,22.03,7.55,6.74,7
1539.19,2.23,0.11,0.15,26.9,7.81,8.04,7
954.63,6.19,0.12,0.09,13.18,7.76,4.61,10
1487.18,7.81,0.01,0.08,19.33,7.94,3.18,8
1298.81,7.12,0.12,0.15,17.65,7.4,9.24,9
164.87,7.73,0.08,0.07,18.06,7.88,3.9,1
720.38,1.34,0.05,0.07,13.66,7.5,4.99,8
1228.98,4.89,0.03,0.11,22.73,7.38,6.57,8
1092.95,7.31,0.08,0.16,11.5,7.46,5.11,10
528.47,1.09,0.01,0.03,23.8,7.36,6.36,7
705.69,6.06,0.2,0.03,16.93,7.51,6.51,8
1825.87,3.79,0.18,0.19,29.02,7.97,7.49,2
794.29,3.87,0.15,0.04,24.57,7.72,7.47,8
1997.17,6.55,0.09,0.08,24.34,7.75,5.08,0
843.77,5.78,0.05,0.1,11.36,7.65,5.56,10
942.78,7.19,0.1,0.16,19.75,7.73,4.11,9
491.3,3.64,0.08,0.07,10.65,7.77,6.79,7
579.26,5.6,0.03,0.01,24.86,7.7,9.65,7
810.89,2.73,0.18,0.02,29.31,7.61,3.72,9
1452.88,7.93,0.04,0.15,25.92,7.32,9.35,8
1958.77,6.58,0.18,0.02,15.62,7.95,2.84,0
1920,4.73,0.02,0.16,14.04,7.53,3.29,1
1780.84,1.15,0.09,0.03,25.5,7.46,2.16,4
1654.66,7.46,0.02,0.18,22.06,7.69,5.37,5
1980.32,3.46,0.08,0.12,11.97,7.92,5.79,1
1303.51,6.06,0.14,0.13,25.42,7.76,4.62,9
674.93,7.55,0.2,0.11,26.01,7.07,9.1,9
871.68,6.8,0.06,0.18,11.55,7.42,2.48,10
669.51,4.73,0.09,0.03,22.65,7.62,5.61,7
1369.03,4.25,0.14,0.03,18.34,7.63,7.94,9
194.01,5.73,0.04,0.1,14.8,7.52,3.64,2
1431.08,4.52,0.02,0.04,22.56,7.06,8.78,7
569.52,2.09,0.19,0.05,23.51,7.13,9.07,6
1863.86,3.76,0.18,0.18,29.04,7.24,7.52,3
1784.23,2.01,0.19,0.05,16.33,7.44,3.85,3
658.23,3.31,0.1,0.12,14.87,7.89,3.07,8
567.3,6.85,0.13,0.06,16.23,7.12,3.59,8
1700.93,2.25,0.1,0.02,10.33,7.54,5.61,6
470.89,4.05,0.08,0.2,17.05,7.1,3.25,6
1546.43,4.02,0.11,0.12,26.57,7.12,7.77,8
829.56,4.96,0.04,0.15,19.07,7.48,5.7,8
1312.24,6.57,0.17,0.08,20.1,7.41,3.95,9
1364.9,6.35,0.01,0.09,16.84,7.81,3.41,8
1544.08,7.1,0.07,0.1,24.69,7.07,5.15,6
838.92,7.63,0.08,0.16,21.43,7.11,5.49,10
1298.72,6.17,0.16,0.03,18.47,7.28,8.14,8
1789.7,5.59,0.14,0.05,27.63,7.94,3.29,4
1308.83,3.37,0.09,0.08,29.47,7.13,9.55,8
1845.53,6.82,0.18,0.2,19.8,7.72,9.85,3
400.95,7.4,0.15,0.09,11.58,7.09,4.15,6
1438.59,7.3,0.06,0.14,16.87,7.49,8.92,7
594.89,5.37,0.06,0.15,25.47,7.03,5.73,7
861.4,4.4,0.07,0.05,18.98,7.57,8.99,10
269.67,3.25,0.19,0.19,27.29,7.49,4.88,3
1894.08,4.92,0.06,0.06,15.98,7.14,9.67,1
1432.39,1.14,0.16,0.05,17.87,7.34,6.3,9
849.52,4.11,0.01,0.07,12.89,7.99,3.54,9
310.15,2.37,0.05,0.05,28.15,7.68,3.8,3
1849.06,4.86,0.05,0.18,22.64,7.25,8.43,2
1663.64,3.68,0.14,0.07,19.25,7.06,5.03,5
152.7,2.52,0.01,0.16,19.65,7.29,3.24,2
1302.26,2.55,0.05,0.15,19.94,7.6,8.11,8
1515.77,5,0.12,0.04,17,7.41,3.97,7
963.25,1.38,0.12,0.05,12.73,7.46,8.89,8
193.12,6.96,0.16,0.06,25.47,7.89,4.91,2
328.46,1.22,0.1,0.04,25.23,7.42,8.06,3
1119.58,3.21,0.08,0.09,17.53,7.21,6.9,10
598.4,7.85,0.01,0.06,13.59,7.12,6.54,8
1517.98,2.4,0.18,0.06,12.23,7.47,8.66,6
1913.17,1.69,0.01,0.05,29.21,7.29,7.03,2
888.5,3.93,0.08,0.1,14.26,7.68,4.66,8
1722.87,3.25,0.06,0.13,22.05,7.27,6.79,5
1679.39,2.24,0.13,0.08,25.69,7.91,8.97,5
513.22,7.04,0.19,0.17,20.28,7.71,9.8,6
190.2,5.76,0.01,0.04,12.61,7.69,4.74,3
1668.43,7.92,0.01,0.18,29.3,7.82,8.41,5
1410.29,6.87,0.13,0.04,20.57,7.68,7.12,7
670.95,7.11,0.18,0.19,13.69,7.27,6.91,7
1830.55,6.9,0.19,0.13,12.97,7.56,4.88,2
1381.06,7.03,0.12,0.15,22.2,7.73,8.33,7
1700.84,5.34,0.03,0.02,28.35,7.27,7.41,4
1944.54,3.3,0.05,0.15,19.92,7.51,4.81,0
1171.09,2.77,0.15,0.07,15.2,7.61,7.12,10
602.97,6.74,0.14,0.04,10.16,7.96,3.97,7
1978.08,3.18,0.08,0.11,29.85,7.58,3.31,0
1652.68,4.88,0.18,0.18,23.28,7.13,8.88,5
578.13,1.64,0.2,0.15,22.85,7.69,6.15,7
656.63,7.37,0.19,0.08,22.95,7.49,2.23,7
1618.49,3.54,0.06,0.16,28.66,7.9,6.09,6
863.08,3.76,0.17,0.02,29.68,7.59,5.08,9
1659.54,5.44,0.06,0.17,17.41,7.1,3.32,4
624.05,5.34,0.18,0.08,18.73,7.95,5.75,8
777.86,5.85,0.11,0.05,16.95,7.27,6.29,9
505.43,3.59,0.13,0.14,20.44,7.54,4.79,6
569.83,1.45,0.18,0.12,11.38,7.11,9.19,7
1160.27,7.47,0.1,0.06,23.48,7.29,8.74,10
1433.16,7.87,0.1,0.11,26.97,7,5.32,7
711.15,3.27,0.07,0.13,26.09,7.2,2.89,9
1651.37,7.99,0.08,0.13,21.85,7.58,8.8,5
1986,6.22,0.18,0.15,16.36,7.83,4.18,1
396.62,5.04,0.14,0.05,11.87,7.87,9.35,6
